"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"1pin";1;"CONN_01X01";;;
2;"C42";"CP_Radial_D5.0mm_P2.50mm";1;"22uF";;;
3;"R27";"R_0603";1;"120R";;;
4;"R25,R26,R19";"R_0603_HandSoldering";3;"0.1ohm";;;
5;"R20";"R_0603_HandSoldering";1;"470k";;;
6;"R21,R23,R22";"R_0603_HandSoldering";3;"100k";;;
7;"R24";"R_0603_HandSoldering";1;"10k";;;
8;"D10,D4,D5";"D_SOD-323_HandSoldering";3;"5.1v";;;
9;"C41,C37,C36,C13";"C_0603_HandSoldering";4;"1u";;;
10;"D7,D9";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"5.1v";;;
11;"D8";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"3.3v";;;
12;"C38";"CP_Radial_D5.0mm_P2.50mm";1;"10uF";;;
13;"D6";"D_SOD-123";1;"3.3v";;;
14;"R17,R18";"R_0603";2;"47K";;;
15;"XS1";"uSDcard";1;"SD_ebay-uSD-push/push_SMD";;;
16;"IC1";"LQFP-128_14x14mm_Pitch0.4mm";1;"iMX233";;;
17;"Y1";"Crystal_HC49-4H_Vertical";1;"24Mhz";;;
18;"JP_USB_boot1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"USB_boot";;;
19;"JP1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"WithBatt";;;
20;"R15,R16";"R_0603";2;"1K";;;
21;"J1";"USB_Micro-B_MOLEX_105017-0001";1;"USB_OTG";;;
22;"R6,R8";"R_0603_HandSoldering";2;"4.7k";;;
23;"R14,R13,R9,R12,R10,R11";"R_0603_HandSoldering";6;"47k";;;
24;"P6";"GOGO_TESTPAD2";1;"1v";;;
25;"D3";"LED_0603";1;"LED";;;
26;"R7,R1";"R_0603_HandSoldering";2;"1k";;;
27;"P1";"GOGO_TESTPAD2";1;"4p2";;;
28;"P2";"GOGO_TESTPAD2";1;"1v2";;;
29;"P4";"GOGO_TESTPAD2";1;"2v5";;;
30;"P5";"GOGO_TESTPAD2";1;"3v3";;;
31;"P3";"GOGO_TESTPAD2";1;"VDDA1v8";;;
32;"C12,C39,C24,C33,C35,C31,C8,C20,C19,C18,C17,C16,C23,C14,C10,C9,C6,C3,C15,C21,C22";"C_0402";21;"100n";;;
33;"C40,C34,C28";"C_0402";3;"10n";;;
34;"R3,R2";"R_0603";2;"1K1%";;;
35;"C32";"C_0603_HandSoldering";1;"4.7uf";;;
36;"C30,C29";"C_0805_HandSoldering";2;"47u";;;
37;"BT1";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"Battery";;;
38;"D2";"D_SOD-323_HandSoldering";1;"D_Batt";;;
39;"R5";"R_0603_HandSoldering";1;"1K";;;
40;"R4";"R_0603_HandSoldering";1;"100K";;;
41;"IC2";"TSOP66_JEDEC_DDR_SDRAM";1;"DDR_SDRAM_MT46_x16";;;
42;"DEBUG_UART1,I2C1";"Pin_Header_Straight_1x04_Pitch2.54mm";2;"CONN_01X04";;;
43;"JP2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"WithoutBatt";;;
44;"L1";"Bourns22uh6x6mm";1;"22uH";;;
45;"C26,C27";"C_0402";2;"1u";;;
46;"C25,C11,C5,C4";"C_0805_HandSoldering";4;"22u";;;
47;"LCD1";"Pin_Header_Straight_1x30_Pitch2.54mm";1;"CONN_01X30";;;
48;"GPIO1";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"CONN_01X05";;;
49;"C1,C2";"C_0402";2;"10p";;;
50;"SW1";"SW_PUSH_6mm";1;"SWITCH_PUSHBUTTON";;;
51;"C7";"C_0805_HandSoldering";1;"1u";;;
52;"D1";"LED_D4.0mm";1;"LED";;;
